1, Crit0:34052,Crit1:-26271,end
9,700
10,19
11,500
12,3700
13,500
14,3
167,3
451,512
2, Crit0:34707,Crit1:-27123,end
9,700
10,19
11,500
12,3700
13,501700
14,3
167,3
451,512
3, Crit0:34799,Crit1:-26166,end
9,700
10,19
11,500
12,3700
13,501
14,3
167,3
451,512
4, Crit0:35269,Crit1:-25882,end
9,700
10,19
11,500
12,3700
13,502
14,3
167,3
451,512
5, Crit0:35967,Crit1:-25492,end
9,700
10,19
11,500
12,3700
13,503
14,3
167,3
451,512
6, Crit0:34969,Crit1:-25389,end
9,700
10,20
11,500
12,3700
13,503
14,3
167,3
451,512
7, Crit0:36394,Crit1:-25294,end
9,700
10,21
11,500
12,3700
13,503
14,3
167,3
451,512
8, Crit0:23657,Crit1:-24753,end
9,700
10,19700
11,500
12,3700
13,500
14,3
167,3
451,512
9, Crit0:24404,Crit1:-24648,end
9,700
10,19700
11,500
12,3700
13,501
14,3
167,3
451,512
10, Crit0:24874,Crit1:-24364,end
9,700
10,19700
11,500
12,3700
13,502
14,3
167,3
451,512
11, Crit0:25572,Crit1:-25220,end
9,700
10,19700
11,500
12,3700
13,503700
14,3
167,3
451,512
12, Crit0:25572,Crit1:-23974,end
9,700
10,19700
11,500
12,3700
13,503
14,3
167,3
451,512
13, Crit0:36265,Crit1:-25244,end
9,700
10,19
11,502
12,3700
13,503
14,3
167,3
451,512
14, Crit0:36445,Crit1:-26263,end
9,700
10,19
11,503
12,3700
13,503700
14,3
167,3
451,512
15, Crit0:36445,Crit1:-25017,end
9,700
10,19
11,503
12,3700
13,503
14,3
167,3
451,512
16, Crit0:35447,Crit1:-24914,end
9,700
10,20
11,503
12,3700
13,503
14,3
167,3
451,512
17, Crit0:36555,Crit1:-26829,end
9,700
10,21
11,501700
12,3700
13,503700
14,3
167,3
451,512
18, Crit0:36555,Crit1:-25583,end
9,700
10,21
11,501700
12,3700
13,503
14,3
167,3
451,512
19, Crit0:36692,Crit1:-26750,end
9,700
10,21
11,502700
12,3700
13,503700
14,3
167,3
451,512
20, Crit0:36692,Crit1:-25504,end
9,700
10,21
11,502700
12,3700
13,503
14,3
167,3
451,512
21, Crit0:36872,Crit1:-26593,end
9,700
10,21
11,503700
12,3700
13,503700
14,3
167,3
451,512
22, Crit0:36872,Crit1:-25347,end
9,700
10,21
11,503700
12,3700
13,503
14,3
167,3
451,512
23, Crit0:36555,Crit1:-25197,end
9,700
10,21
11,501
12,3700
13,503
14,3
167,3
451,512
24, Crit0:36692,Crit1:-25046,end
9,700
10,21
11,502
12,3700
13,503
14,3
167,3
451,512
25, Crit0:36872,Crit1:-24819,end
9,700
10,21
11,503
12,3700
13,503
14,3
167,3
451,512
26, Crit0:25664,Crit1:-24348,end
9,700
10,21700
11,501700
12,3700
13,503
14,3
167,3
451,512
27, Crit0:25664,Crit1:-23962,end
9,700
10,21700
11,501
12,3700
13,503
14,3
167,3
451,512
28, Crit0:25801,Crit1:-24269,end
9,700
10,21700
11,502700
12,3700
13,503
14,3
167,3
451,512
29, Crit0:25801,Crit1:-23811,end
9,700
10,21700
11,502
12,3700
13,503
14,3
167,3
451,512
30, Crit0:25981,Crit1:-24112,end
9,700
10,21700
11,503700
12,3700
13,503
14,3
167,3
451,512
31, Crit0:25981,Crit1:-23584,end
9,700
10,21700
11,503
12,3700
13,503
14,3
167,3
451,512
32, Crit0:25560,Crit1:-23536,end
9,700
10,20700
11,503
12,3700
13,503
14,3
167,3
