UG_151 = 2, Crit0_151 = 1696
UG_152 = 3, Crit0_152 = 2838
UG_153 = 2, Crit0_153 = 1390
UG_154 = 501, Crit0_154 = 3753
UG_155 = 602, Crit0_155 = 24
UG_156 = 2603, Crit0_156 = 208
UG_157 = 801, Crit0_157 = 0
UG_158 = 3, Crit0_158 = 1261
UG_159 = 3, Crit0_159 = 5778
UG_160 = 5600, Crit0_160 = 2076
UG_161 = 2, Crit0_161 = 1202
UG_162 = 3700, Crit0_162 = 530
UG_163 = 3, Crit0_163 = 4902
UG_164 = 3700, Crit0_164 = 1051
UG_165 = 3601, Crit0_165 = 637
UG_166 = 1700, Crit0_166 = 2628
UG_167 = 3, Crit0_167 = 1779
UG_168 = 2, Crit0_168 = 7878
UG_169 = 3, Crit0_169 = 4910
UG_170 = 3, Crit0_170 = 314
UG_171 = 2, Crit0_171 = 3755
UG_172 = 502, Crit0_172 = 1186
UG_173 = 503, Crit0_173 = 1574
UG_174 = 503, Crit0_174 = 1182
UG_175 = 2700, Crit0_175 = 592
UG_176 = 501, Crit0_176 = 3942
UG_177 = 3, Crit0_177 = 2277
UG_178 = 2, Crit0_178 = 1189
UG_179 = 700, Crit0_179 = 238
UG_180 = 15, Crit0_180 = 735
UG_181 = 36, Crit0_181 = 509
UG_182 = 503700, Crit0_182 = 944
UG_183 = 501700, Crit0_183 = 1770
UG_184 = 503602, Crit0_184 = 9486
UG_185 = 501700, Crit0_185 = 961
UG_186 = 500700, Crit0_186 = 1407
UG_187 = 1, Crit0_187 = 551
UG_188 = 503700, Crit0_188 = 1570
UG_189 = 503, Crit0_189 = 592
UG_190 = 502, Crit0_190 = 804
UG_191 = 1304, Crit0_191 = 1348
UG_192 = 1302, Crit0_192 = 89
UG_193 = 1602, Crit0_193 = 262
UG_194 = 2316, Crit0_194 = 2929
UG_195 = 20319, Crit0_195 = 5852
UG_196 = 3700, Crit0_196 = 1027
UG_197 = 3, Crit0_197 = 4989
UG_198 = 503, Crit0_198 = 1310
UG_199 = 503700, Crit0_199 = 935
UG_200 = 2601, Crit0_200 = 287
UG_201 = 2, Crit0_201 = 2243
UG_202 = 1700, Crit0_202 = 516
UG_203 = 503, Crit0_203 = 9038
UG_204 = 2, Crit0_204 = 3311
UG_205 = 3, Crit0_205 = 3171
UG_206 = 1, Crit0_206 = 2166
UG_207 = 3, Crit0_207 = 668
UG_208 = 3, Crit0_208 = 4225
UG_209 = 503, Crit0_209 = 319
UG_210 = 2, Crit0_210 = 8120
UG_211 = 3, Crit0_211 = 3865
UG_212 = 3, Crit0_212 = 1877
UG_213 = 3, Crit0_213 = 2558
UG_214 = 503, Crit0_214 = 165
UG_215 = 2700, Crit0_215 = 949
UG_216 = 3, Crit0_216 = 7429
UG_217 = 1, Crit0_217 = 2148
UG_218 = 2700, Crit0_218 = 490
UG_219 = 3, Crit0_219 = 3921
UG_220 = 2, Crit0_220 = 984
UG_221 = 2, Crit0_221 = 1099
UG_222 = 2, Crit0_222 = 1186
UG_223 = 2306, Crit0_223 = 407
UG_224 = 2, Crit0_224 = 2490
UG_225 = 2, Crit0_225 = 799
UG_226 = 3, Crit0_226 = 4749
UG_227 = 2, Crit0_227 = 5031
UG_228 = 3, Crit0_228 = 10515
UG_229 = 20, Crit0_229 = 7623
UG_230 = 21, Crit0_230 = 9687
UG_231 = 3, Crit0_231 = 6991
UG_232 = 503, Crit0_232 = 3270
UG_233 = 1, Crit0_233 = 4555
UG_234 = 2314, Crit0_234 = 453
UG_235 = 1600, Crit0_235 = 1769
UG_236 = 3604, Crit0_236 = 276
UG_237 = 1316, Crit0_237 = 3928
UG_238 = 1318, Crit0_238 = 3737
UG_239 = 1318, Crit0_239 = 4849
UG_240 = 502, Crit0_240 = 2290
UG_241 = 602, Crit0_241 = 59
UG_242 = 2, Crit0_242 = 2112
UG_243 = 2, Crit0_243 = 1265
UG_244 = 502, Crit0_244 = 2074
UG_245 = 3, Crit0_245 = 6041
UG_246 = 2, Crit0_246 = 693
UG_247 = 502, Crit0_247 = 2687
UG_248 = 4, Crit0_248 = 2056
UG_249 = 700, Crit0_249 = 821
