Crit0,Crit1,Crit2,end
2291868,-2630303,99984,end
2291868,-2630303,99989,end
2291871,-2630303,99982,end
2291871,-2630303,99984,end
2291871,-2630303,99989,end
2292317,-2631143,100057,end
2293609,-2632788,100837,end
2293609,-2632779,99963,end
2293609,-2632779,99971,end
2293609,-2632779,99976,end
2291981,-2631143,100058,end
2292317,-2631143,100058,end
2291908,-2630840,100023,end
2291921,-2630818,100024,end
2291896,-2630761,100021,end
2291894,-2630511,100012,end
2291894,-2630511,100014,end
2291894,-2630511,100021,end
2291881,-2630405,100009,end
2291881,-2630405,100012,end
2291881,-2630405,100020,end
2291868,-2630303,100012,end
2291868,-2630303,100017,end
2291871,-2630303,100010,end
2291871,-2630303,100012,end
2291871,-2630303,100017,end
2290241,-2625498,100043,end
2290241,-2625498,100049,end
2290286,-2625728,100048,end
2290286,-2625728,100051,end
2290331,-2625950,100046,end
2290331,-2625950,100049,end
2290352,-2626787,100052,end
2290352,-2626787,100053,end
2290397,-2626675,100051,end
2290397,-2626675,100054,end
2290442,-2626761,100048,end
2290442,-2626761,100051,end
2290879,-2626983,100071,end
2290879,-2626983,100076,end
2290879,-2626983,100077,end
2290924,-2627210,100072,end
2290924,-2627210,100076,end
2290970,-2627431,100071,end
2290970,-2627431,100073,end
2291413,-2627980,100072,end
2291413,-2627980,100073,end
2291458,-2627904,100069,end
2291458,-2627904,100073,end
2291503,-2627960,100065,end
2291503,-2627960,100069,end
2291503,-2627960,100071,end
2292600,-2631136,99984,end
2292600,-2631136,99988,end
2292600,-2631136,99998,end
2293432,-2631061,100923,end
2293432,-2631061,101053,end
2293432,-2631052,99962,end
2293432,-2631052,99975,end
2293432,-2631047,99962,end
2293432,-2631047,99965,end
2293432,-2631047,99975,end
2293705,-2632914,99837,end
2293705,-2632914,99851,end
2293705,-2632421,100594,end
2293705,-2632421,100724,end
2293705,-2632412,99850,end
2293705,-2632412,99858,end
2293705,-2632412,99863,end
2292170,-2630987,99959,end
2292170,-2630987,99960,end
2292103,-2630961,99939,end
2292103,-2630961,99943,end
2292103,-2630961,99945,end
2292158,-2630892,99958,end
2292158,-2630892,99963,end
2292158,-2630892,99964,end
2292413,-2630776,99944,end
2292413,-2630776,99945,end
2292004,-2630473,99901,end
2292004,-2630473,99910,end
2292017,-2630451,99902,end
2292017,-2630451,99903,end
2292017,-2630451,99911,end
2291992,-2630394,99901,end
2291992,-2630394,99902,end
2291992,-2630394,99908,end
2291990,-2630144,99899,end
2291990,-2630144,99901,end
2291990,-2630144,99908,end
2291977,-2630038,99896,end
2291977,-2630038,99899,end
2291977,-2630038,99907,end
2291964,-2629936,99899,end
2291964,-2629936,99904,end
2291967,-2629936,99897,end
2291967,-2629936,99899,end
2291967,-2629936,99904,end
2292413,-2630776,99962,end
2293705,-2632421,100742,end
2293705,-2632412,99868,end
2293705,-2632412,99876,end
2293705,-2632412,99881,end
2292170,-2630987,99973,end
2292170,-2630987,99977,end
2292170,-2630987,99978,end
2292158,-2630892,99976,end
2292158,-2630892,99981,end
2292158,-2630892,99982,end
2292413,-2630776,99963,end
2292004,-2630473,99919,end
2292004,-2630473,99928,end
2292017,-2630451,99920,end
2292017,-2630451,99921,end
2292017,-2630451,99929,end
2291992,-2630394,99920,end
2291992,-2630394,99926,end
2291990,-2630144,99917,end
2291990,-2630144,99919,end
2291990,-2630144,99926,end
2291977,-2630038,99914,end
2291977,-2630038,99917,end
2291977,-2630038,99925,end
2291964,-2629936,99917,end
2291964,-2629936,99922,end
2291967,-2629936,99915,end
2291967,-2629936,99917,end
2291967,-2629936,99922,end
2290245,-2625634,100065,end
2290245,-2625634,100071,end
2290290,-2625864,100070,end
2290290,-2625864,100073,end
2290335,-2626086,100068,end
