1,2028,Ec,5879
1,2043,Ct,65
1,2053,Ct,2023
1,2063,Ct,3208
1,2068,Ct,5405
2,2023,Ec,220
2,2046,Qr,0
2,2050,Qr,0
2,2060,Qr,2
2,2068,Qr,5
3,2027,Ec,215
3,2038,Ec,294
3,2049,Ec,500
3,2060,Ec,452
4,2042,Pb,401
4,2057,Pb,5909
5,2042,Pb,123
5,2052,Pb,311
5,2067,Pb,2145
6,2024,Ec,1004
6,2047,Qr,0
6,2051,Qr,1
6,2061,Qr,5
6,2069,Qr,11
7,2024,Ec,2575
7,2034,Ec,2439
7,2044,Ec,2173
7,2054,Ec,4301
7,2064,Ec,4032
8,2037,Pb,192
8,2047,Pb,1499
9,2049,Sb,176
9,2059,Sb,1052
9,2068,Sb,544
10,2029,Ec,3786
10,2039,Ec,3205
10,2049,Ec,2987
10,2059,Ec,2798
10,2069,Ec,2496
11,2048,Pb,37
11,2063,Pb,853
12,2026,Ec,157
12,2056,Sb,19
12,2066,Sb,115
13,2028,Pb,92
13,2038,Pb,453
13,2048,Pb,3012
14,2026,Ec,844
14,2056,Sb,103
14,2066,Sb,618
15,2026,Ec,190
15,2038,Ec,246
15,2050,Ec,223
15,2062,Ec,411
19,2029,Ec,726
19,2041,Ec,661
19,2053,Ec,570
19,2065,Ec,726
20,2029,Ec,638
20,2041,Ec,579
20,2053,Ec,521
20,2065,Ec,777
21,2028,Ec,1117
21,2040,Ec,1591
21,2052,Ec,1425
21,2064,Ec,2149
22,2027,Ec,541
22,2057,Sb,421
22,2067,Sb,248
23,2025,Ec,1552
23,2037,Ec,1566
23,2049,Ec,1433
23,2061,Ec,2231
24,2025,Ec,2001
24,2055,Sb,138
24,2065,Sb,827
25,2028,Ec,218
25,2058,Sb,33
25,2068,Sb,200
27,2033,Pb,56
27,2043,Pb,277
27,2053,Pb,385
27,2068,Pb,2772
28,2031,Ec,1383
28,2043,Ec,1305
28,2055,Ec,1135
28,2067,Ec,1220
29,2044,Pb,248
29,2054,Pb,1789
30,2026,Ec,1147
30,2056,Sb,71
30,2066,Sb,429
31,2025,Ec,378
31,2048,Qr,0
31,2052,Qr,1
31,2062,Qr,5
32,2049,Sb,171
32,2059,Sb,1024
32,2068,Sb,530
33,2037,Pb,369
33,2047,Pb,512
33,2057,Pb,3617
34,2024,Ec,3321
34,2035,Ec,3125
34,2046,Ec,2749
34,2057,Ec,6071
34,2068,Ec,5643
35,2033,Pb,363
35,2043,Pb,589
35,2058,Pb,5455
37,2024,Ec,380
37,2036,Ec,567
37,2048,Ec,519
37,2060,Ec,720
38,2026,Ec,492
38,2049,Qr,0
38,2053,Qr,1
38,2066,Qr,95
39,2028,Ec,1318
39,2063,Ct,703
40,2022,Ec,966
40,2034,Ec,1368
40,2046,Ec,1234
40,2058,Ec,1718
41,2021,Ec,356
41,2036,Ct,7
41,2046,Ct,223
41,2056,Ct,354
42,2028,Ec,248
42,2039,Ec,222
42,2050,Ec,203
42,2061,Ec,359
43,2034,Pb,46
43,2044,Pb,243
43,2054,Pb,313
43,2069,Pb,2288
45,2028,Ec,516
45,2039,Ec,458
45,2050,Ec,408
45,2061,Ec,660
46,2029,Ec,56
46,2041,Ec,51
46,2053,Ec,44
46,2065,Ec,56
48,2029,Ec,1468
48,2041,Ec,1308
48,2053,Ec,1112
48,2065,Ec,1468
49,2024,Ec,766
49,2035,Ec,759
49,2046,Ec,695
49,2057,Ec,1092
49,2068,Ec,1014
50,2029,Ec,1084
50,2041,Ec,998
50,2053,Ec,870
50,2065,Ec,1084
51,2026,Ec,820
51,2056,Sb,51
51,2066,Sb,306
52,2025,Ec,705
52,2055,Sb,49
52,2065,Sb,293
53,2023,Ec,194
53,2053,Sb,15
53,2063,Sb,91
54,2029,Ec,933
54,2041,Ec,860
54,2053,Ec,750
54,2065,Ec,933
55,2027,Ec,582
55,2038,Ec,1111
55,2049,Ec,1014
55,2060,Ec,947
56,2025,Ec,242
56,2036,Ec,241
56,2047,Ec,222
56,2058,Ec,341
56,2069,Ec,318
57,2025,Pb,85
57,2035,Pb,249
57,2045,Pb,381
57,2060,Pb,3035
58,2044,Pb,197
58,2054,Pb,286
58,2069,Pb,2153
59,2039,Pb,60
59,2049,Pb,140
59,2059,Pb,938
60,2025,Ec,314
60,2048,Qr,0
60,2052,Qr,1
60,2062,Qr,4
61,2030,Pb,1948
61,2055,Pb,616
62,2049,Sb,18
62,2059,Sb,109
62,2068,Sb,56
63,2054,Pb,532
63,2064,Pb,3631
64,2026,Ec,1244
64,2038,Ec,1630
64,2050,Ec,1477
64,2062,Ec,2711
66,2052,Pb,111
67,2026,Ec,6389
67,2041,Ct,60
67,2051,Ct,1877
67,2061,Ct,2975
68,2029,Ec,1265
68,2041,Ec,1168
68,2053,Ec,1021
68,2065,Ec,1265
69,2034,Pb,211
69,2044,Pb,1061
69,2054,Pb,1491
69,2064,Pb,8446
70,2059,Pb,670
71,2059,Pb,787
72,2026,Pb,148
72,2061,Pb,206
73,2048,Pb,303
74,2029,Ec,2170
74,2041,Ec,2045
74,2053,Ec,1775
74,2065,Ec,1910
77,2044,Pb,69
77,2054,Pb,108
77,2069,Pb,830
78,2034,Pb,16
78,2044,Pb,85
78,2054,Pb,105
78,2064,Pb,661
79,2023,Ec,448
79,2034,Ec,612
79,2045,Ec,558
79,2056,Ec,761
79,2067,Ec,713
80,2034,Pb,56
80,2044,Pb,289
80,2054,Pb,411
80,2069,Pb,2875
81,2044,Pb,21
81,2054,Pb,31
81,2069,Pb,229
83,2024,Ec,1775
83,2036,Ec,2408
83,2048,Ec,2195
83,2060,Ec,2985
84,2024,Ec,657
84,2047,Qr,0
84,2051,Qr,2
84,2061,Qr,9
85,2025,Ec,1320
85,2040,Ct,27
85,2050,Ct,807
85,2060,Ct,1254
86,2049,Sb,56
86,2059,Sb,336
86,2068,Sb,174
87,2042,Qr,0
87,2046,Qr,1
87,2056,Qr,3
87,2064,Qr,6
88,2026,Ec,1115
88,2037,Ec,1807
88,2048,Ec,1649
88,2059,Ec,2924
